creative_id,scheduled_date,time_slot,series,hook,beat1_prompt,beat2_prompt,beat3_prompt,ref_url,status,rendered_at
MILO-D01-MOR,2026-09-19,morning,milo,The CEO fired me for sleeping in the meeting.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character sits at a small desk, rubs his eyes and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character hops onto a chair, opens a laptop, taps the screen with a paw, leans in and says: But he doesn't know I had the security cam running.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character grins smugly to camera as a small pigeon on his laptop screen behind him drags papers into a vent, and says: Turns out the pigeon in accounting has been leaking to Finance.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,rendered,2026-09-20T17:48:56.230677+00:00
MILO-D01-EVE,2026-09-21,evening,milo,The CEO fired me for sleeping in the meeting.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character sits at a small desk, rubs his eyes and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character hops onto a chair, opens a laptop, taps the screen with a paw, leans in and says: But he doesn't know I had the security cam running.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character grins smugly to camera as a small pigeon on his laptop screen behind him drags papers into a vent, and says: Turns out the pigeon in accounting has been leaking to Finance.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,queued,
RITA-D02-MOR,2026-09-22,morning,rita,A package showed up on my porch. Not mine.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character creeps up to a cardboard box on a porch and whispers the hook to camera. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character pulls out a small pink notebook, licks a paw, and says: Standard procedure — inspect the label, then eat the treats.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character holds up an empty snack bag with a proud grin and says: Case closed. Amazon has my address now.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
RITA-D02-EVE,2026-09-22,evening,rita,A package showed up on my porch. Not mine.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character creeps up to a cardboard box on a porch and whispers the hook to camera. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character pulls out a small pink notebook, licks a paw, and says: Standard procedure — inspect the label, then eat the treats.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single clever raccoon, dark eye mask, small pink backpack. Character holds up an empty snack bag with a proud grin and says: Case closed. Amazon has my address now.. The character speaks in a confident, mischievous female raccoon voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/rita_ref.png,queued,
BARKLEY-D03-MOR,2026-09-23,morning,barkley,The evidence disappeared from the desk. Rookie mistake.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character leans against a filing cabinet under a flickering light and says the hook to camera. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character opens his own mouth like a filing drawer and says: I ate it. It was compelling.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character tips his hat to camera and says: My gut says we crack this case tomorrow. Or lunch. Whichever.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/barkley_ref.png,queued,
BARKLEY-D03-EVE,2026-09-23,evening,barkley,The evidence disappeared from the desk. Rookie mistake.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character leans against a filing cabinet under a flickering light and says the hook to camera. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character opens his own mouth like a filing drawer and says: I ate it. It was compelling.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single golden retriever detective, rumpled trench coat, fedora tilted low. Character tips his hat to camera and says: My gut says we crack this case tomorrow. Or lunch. Whichever.. The character speaks in a hardboiled, gravelly male dog voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/barkley_ref.png,queued,
MILO2-D04-MOR,2026-09-24,morning,milo2,HR called about the incident in the break room.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character peeks over a cubicle wall, sighs, and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character opens the fridge, points a paw at empty tuna cans, says: I did not, quote, sabotage the meeting snacks.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character holds up a printout of an email chain and says: But whoever labeled the tuna 'Karen' has a real problem.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo2_ref.png,queued,
MILO2-D04-EVE,2026-09-24,evening,milo2,HR called about the incident in the break room.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character peeks over a cubicle wall, sighs, and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character opens the fridge, points a paw at empty tuna cans, says: I did not, quote, sabotage the meeting snacks.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character holds up a printout of an email chain and says: But whoever labeled the tuna 'Karen' has a real problem.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo2_ref.png,queued,
MILO-D05-MOR,2026-09-25,morning,milo,They gave the promotion to a golden retriever.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character slumps at his desk with his tie crooked and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character opens a laptop and pulls up a resume with more paw prints than words, says: I have twelve years of experience napping in strategic locations.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character stares dead into the camera and says: I'm not bitter. I'm just going to become the pigeon's boss.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,queued,
MILO-D05-EVE,2026-09-25,evening,milo,They gave the promotion to a golden retriever.,"Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character slumps at his desk with his tie crooked and says the hook to camera. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character opens a laptop and pulls up a resume with more paw prints than words, says: I have twelve years of experience napping in strategic locations.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.","Cartoonish 3D animated vertical 9:16 video, Pixar-style. The reference image is the ONLY main character on camera in this scene: single fluffy orange tabby cat, big green eyes, small white chest, loose sky-blue tie. Character stares dead into the camera and says: I'm not bitter. I'm just going to become the pigeon's boss.. The character speaks in a slightly whiny, deadpan, put-upon male cat voice, mouth in sync. Exaggerated cartoon expressions, warm lighting. No other characters speak in this scene. No other characters appear on camera unless described.",https://raw.githubusercontent.com/dkgrissom-tech/Ora-auto/main/brands/toolstack/assets/refs/milo_ref.png,queued,
