creative_id,scheduled_date,time_slot,hook_type,hook,caption,tags,pinterest_title,script,scene1_start,scene1_end,scene1_prompt,scene2_start,scene2_end,scene2_prompt,scene3_start,scene3_end,scene3_prompt,scene4_start,scene4_end,scene4_prompt,status,rendered_at
HH-D01-MOR,2026-09-23,morning,vibe,Some hearts are built to be fixed.,Some hearts are built to be fixed.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Some hearts are built to be fixed,"In Cedar Hollow, small hands can heal a whole town. Handy Hearts is the first book in a heartfelt new romance series about a widowed carpenter, a broken porch, and the librarian who noticed. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D01-EVE,2026-09-23,evening,pov,He fixes broken things. He forgot he was one of them.,He fixes broken things. He forgot he was one of them.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: He fixes broken things. He forgot he was one of them,"Meet Don. Widowed carpenter, three years in, still eating supper standing up. He fixes broken porches. He forgot he was one of them. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D02-MOR,2026-09-24,morning,pov,She noticed him before she noticed the porch.,She noticed him before she noticed the porch.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: She noticed him before she noticed the porch,"Meet Dana. Librarian, transplant, brand new to Cedar Hollow. She noticed him before she noticed the porch. She noticed everything. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D02-EVE,2026-09-24,evening,trope,One busted porch. One quiet librarian. One second chance.,One busted porch. One quiet librarian. One second chance.,#BookTok #SlowBurn #GrumpySunshine #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: One busted porch. One quiet librarian. One second chance,"One busted porch. One quiet librarian. One widowed carpenter who thought he was done. In Cedar Hollow, small hands can heal a whole town. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: a leather tool belt, hammer, and coiled measuring tape resting on weathered wooden porch boards, golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D03-MOR,2026-09-25,morning,beat,Grief doesn't leave. But sometimes it makes room.,Grief doesn't leave. But sometimes it makes room.,#BookTok #Romance #HealingLove #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Grief doesn't leave. But sometimes it makes room,"Grief doesn't leave. But sometimes, on a warm porch in a small town, it makes room for something new. Handy Hearts. A Cedar Hollow novel. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D03-EVE,2026-09-25,evening,vibe,Welcome to Cedar Hollow.,Welcome to Cedar Hollow.,#BookTok #SmallTownRomance #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Welcome to Cedar Hollow,Welcome to Cedar Hollow. Population eight hundred and change. Home to porches that need fixing and hearts that need finding. Handy Hearts. Book One of a new small-town romance series. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D04-MOR,2026-09-26,morning,pov,He never talks. She's got questions.,He never talks. She's got questions.,#BookTok #Romance #CedarHollow #HandyHearts #DKGrissom #BookLovers,Handy Hearts: He never talks. She's got questions,Meet Don. He never talks. Meet Dana. She's got questions. And a stack of overdue library cards. Handy Hearts. Coming soon from D.K. Grissom.,0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: weathered blue-collar carpenter hands working with a hammer on wood on a covered porch, warm evening light, sawdust in the air. No text, no books, no author names.",8.0,12.0,"Vertical warm interior shot: small-town library with tall wooden shelves, soft afternoon light streaming through arched windows, a single reading chair by a window, wildflowers on a table. No text, no books visible on shelves, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D04-EVE,2026-09-26,evening,trope,Small town. Big secrets. One porch swing.,Small town. Big secrets. One porch swing.,#BookTok #SlowBurn #GrumpySunshine #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Small town. Big secrets. One porch swing,"Small town. Big secrets. One broken porch, and the woman who kept walking by. Handy Hearts. A Cedar Hollow novel. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical close-up: a leather tool belt, hammer, and coiled measuring tape resting on weathered wooden porch boards, golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D05-MOR,2026-09-27,morning,beat,Some love stories start with a hammer.,Some love stories start with a hammer.,#BookTok #Romance #HealingLove #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: Some love stories start with a hammer,"Some love stories start with roses. This one starts with a hammer, a hurt man, and a woman who saw right through him. Handy Hearts. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: a wildflower meadow at dusk with fireflies rising, warm amber glow on the horizon, distant lights of a small town. No text, no books, no author names.",4.0,8.0,"Vertical wide shot of an old wooden Southern porch in disrepair, weathered peeling paint, a broken step board and sagging railing, wildflowers growing around the base, warm golden hour light. No text, no books, no author names.",8.0,12.0,"Vertical shot: a wooden rocking chair on a covered Southern porch at sunset, two mismatched coffee mugs on a small table, wildflowers in a mason jar. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
HH-D05-EVE,2026-09-27,evening,countdown,The Cedar Hollow series starts soon.,The Cedar Hollow series starts soon.,#ComingSoon #BookTok #NewRelease #CedarHollow #HandyHearts #DKGrissom,Handy Hearts: The Cedar Hollow series starts soon,"The Cedar Hollow series starts soon. Book One is Handy Hearts, a small-town romance about a widowed carpenter and the librarian who noticed. Coming soon from D.K. Grissom.",0.0,4.0,"Vertical shot: Cedar Hollow small Southern town at golden hour, wildflowers by a country road, wooden storefronts and covered porches, warm painterly light. No text, no books, no author names.",4.0,8.0,"Vertical shot: an old red pickup truck driving down a country dirt road past wildflower fields at golden hour, Cedar Hollow town sign in the distance. No text, no books, no author names.",8.0,12.0,"Vertical shot: a small white Southern church steeple against a burning orange sunset, wildflowers in the foreground, warm painterly light. No text, no books, no author names.",12.0,17.5,"Vertical hero shot: an empty rustic wooden table surface in warm golden light, with a steaming mug of coffee to one side and dried wildflowers to the other. Leave the center of the table completely empty. No books, no text, no covers, no author names anywhere in the frame.",queued,
